title,price,address,district,lat,lon,Общая площадь,Аренда части,Этаж,Высота потолков,Отделка,Мощность электросети,Планировка,Тип аренды,Арендные каникулы,Минимальный срок аренды,Платежи включены,Тип здания,Парковка,url,Класс здания,Количество парковочных мест,Вход,Отопление,Отдельный вход,Удалённость от дороги,Количество мест в коворкинге,Тип места,Работа в выходные,Режим работы с,Режим работы до,Удобства включены в стоимость,Ключевые удобства,Доступное оборудование,Еда и напитки,Услуги,Другое,Круглосуточный режим
"Склад, 4500 м² Свердловский район",835,"Иркутская обл., Иркутск, Ракитная ул., 12",р-н Свердловский,52.273847,104.212155,4500 м²,nan,1,nan,nan,nan,nan,прямая,есть,nan,коммунальные,другой,nan,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_4500_m_sverdlovskiy_rayon_2268617354?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQV2Y0TGp5SXBjQ0dhUWxUIjt9WzsZPD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 271.7 м²",170000,"Иркутская обл., Иркутск, Красноказачья ул., 119",р-н Октябрьский,52.26809311,104.329483,271.7 м²,nan,5,4 м,чистовая,nan,nan,прямая,есть,11 мес.,"коммунальные, эксплуатационные",бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_271.7_m_4417033124?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQV2Y0TGp5SXBjQ0dhUWxUIjt9WzsZPD8AAAA,nan,nan,с улицы,nan,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Универсальное помещение, 100 кв.м",650,"Иркутская обл., Иркутск, ул. Щорса, 2/4",р-н Правобережный,52.31198,104.30372,100 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/universalnoe_pomeschenie_100_kv.m_7438261129?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQV2Y0TGp5SXBjQ0dhUWxUIjt9WzsZPD8AAAA,nan,nan,со двора,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 30м² - 210м² О.Кошевого",15000,"Иркутская обл., Иркутск, 1-я Московская ул., 1Ас3",р-н Ленинский,52.32625110707818,104.25963779496765,210 м²,возможна,2,nan,офисная,nan,кабинетная,прямая,nan,15 мес.,коммунальные,административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_30m_-_210m_o.koshevogo_3996250980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQV2Y0TGp5SXBjQ0dhUWxUIjt9WzsZPD8AAAA,nan,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 1550 м² Полярная",400,"Иркутская обл., Иркутск, Полярная ул., 201",р-н Ленинский,52.35136090779286,104.26645733337392,1550 м²,nan,1,8 м,чистовая,nan,nan,прямая,есть,12 мес.,коммунальные,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_1550_m_polyarnaya_4508182663?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQV2Y0TGp5SXBjQ0dhUWxUIjt9WzsZPD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Площадка 600м² - 1200 м² ул. трактовая,200,"Иркутская обл., Иркутск, Трактовая ул., 24/10",р-н Ленинский,52.31560239302422,104.23749766864772,1200 м²,nan,1,nan,nan,nan,nan,прямая,nan,12 мес.,nan,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ploschadka_600m_-_1200_m_ul._traktovaya_7323544287?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQV2Y0TGp5SXBjQ0dhUWxUIjt9WzsZPD8AAAA,nan,50,с улицы,нет,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговые площади, 150 кв.м",600,"Иркутская обл., Иркутск, ул. Сергеева, 3/7П",р-н Свердловский,52.264946,104.229079,150 м²,nan,4,nan,без отделки,nan,nan,прямая,nan,nan,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovye_ploschadi_150_kv.m_2823502771?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Складское помещение, 180 кв.м",96000,"Иркутская обл., Иркутск, ул. Сухэ-Батора, 13",р-н Правобережный,52.284497,104.284541,180 м²,nan,1,nan,чистовая,nan,nan,прямая,nan,nan,nan,жилой дом,nan,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/skladskoe_pomeschenie_180_kv.m_7278967811?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,со двора,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 210 м² Ширямова (р-н Аэропорта)",1200,"Иркутская обл., Иркутск, ул. Ширямова, 10/6",р-н Октябрьский,52.273974,104.352813,210 м²,возможна,2,3.2 м,офисная,nan,кабинетная,прямая,nan,12 мес.,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_210_m_shiryamova_r-n_aeroporta_4700130396?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Универсальное помещение, 360 кв.м",150000,"Иркутская обл., Иркутск, ул. Ядринцева, 1/6",р-н Октябрьский,52.279511,104.336544,360 м²,nan,1,nan,без отделки,nan,nan,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/universalnoe_pomeschenie_360_kv.m_4558813314?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Нежилое, свердловский, 1эт",412500,"Иркутская обл., Иркутск, ул. Лермонтова, 136/2",р-н Свердловский,52.238725,104.277112,330 м²,nan,1,3.5 м,чистовая,nan,nan,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/nezhiloe_sverdlovskiy_1et_3565022866?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Производственное помещение, 330 кв.м",500,"Иркутская обл., Иркутск, Горка, 8/15",р-н Ленинский,52.368307,104.157349,330 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/proizvodstvennoe_pomeschenie_330_kv.m_7398195292?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,со двора,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Отдельностоящее здание, 1590 кв.м",1470000,"Иркутская обл., Иркутск, Трактовая ул., 2Д",р-н Ленинский,52.308197,104.237056,1590 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/otdelnostoyaschee_zdanie_1590_kv.m_7302129120?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 330 м²",800,"Иркутская обл., Иркутск, Култукская ул., 68",р-н Правобережный,52.282806,104.344953,330 м²,nan,1,3 м,офисная,120 кВт,кабинетная,прямая,nan,11 мес.,nan,административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_330_m_4601465413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 400 м² Рабочего штаба на 1 линии",550,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 34",р-н Правобережный,52.309012,104.298528,400 м²,nan,3,3 м,офисная,nan,открытая,прямая,есть,11 мес.,nan,бизнес-центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_400_m_rabochego_shtaba_na_1_linii_3292259848?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,B,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдается коммерческая, 116.1 кв.м., 1/6 эт",400000,"Иркутская обл., Иркутск, ул. Красного Восстания, 24",р-н Октябрьский,52.275087,104.285547,116.1 м²,nan,1,3.3 м,без отделки,15 кВт,nan,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdaetsya_kommercheskaya_116.1_kv.m._16_et_7276409709?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офисное помещение, 12.1 кв.м",15246,"Иркутская обл., Иркутск, Гравийная ул., 22",р-н Ленинский,52.361196,104.20875,12.1 м²,nan,1,nan,офисная,nan,кабинетная,прямая,nan,nan,nan,бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_12.1_kv.m_7278255003?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь для автомобильных товаров, 20 м²",3400,"Иркутская обл., Иркутск, ул. Карла Маркса, 65",р-н Правобережный,52.29413448777635,104.2942033156421,20 м²,nan,1,nan,офисная,nan,nan,прямая,есть,11 мес.,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_dlya_avtomobilnyh_tovarov_20_m_4389678815?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 650 м², Рабочего штаба",650,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 99Б",р-н Правобережный,52.322709,104.302867,650 м²,nan,1,5.5 м,чистовая,nan,nan,прямая,есть,12 мес.,коммунальные,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_650_m_rabochego_shtaba_7323639948?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,B,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Универсальное помещение, 5000 кв.м",500,"Иркутская обл., Иркутск, Трактовая ул., 7",р-н Ленинский,52.312641,104.235987,5000 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/universalnoe_pomeschenie_5000_kv.m_4615386939?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Отдельностоящее здание, 1200 кв.м",900000,"Иркутская обл., Иркутск, Трактовая ул., 2Д",р-н Ленинский,52.308197,104.237056,1200 м²,nan,1,nan,чистовая,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/otdelnostoyaschee_zdanie_1200_kv.m_2343067113?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, производство, сервис 150м² - 325 м²",200,"Иркутская обл., Иркутск, Полярная ул., 117Б",р-н Ленинский,52.345283,104.265227,325 м²,nan,1,4 м,чистовая,100 кВт,nan,прямая,nan,12 мес.,коммунальные,другой,"на улице, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_ili_proizvodstvo_1120_m_7483568637?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,30,со двора,нет,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Отдельностоящее здание, 350 кв.м",525000,"Иркутская обл., Иркутск, ул. Горького, 42",р-н Правобережный,52.285429,104.288476,350 м²,nan,1,nan,без отделки,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/otdelnostoyaschee_zdanie_350_kv.m_7406495921?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 30 м²",3733,"Иркутская обл., Иркутск, ул. Карла Маркса, 65",р-н Правобережный,52.2945016505417,104.29418990206908,30 м²,nan,1,nan,чистовая,nan,nan,прямая,есть,11 мес.,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_30_m_7237452107?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, торговля, 143 м² ул. О.Кошевого, на 1 линии",600,"Иркутская обл., Иркутск, 1-я Московская ул., 1А",р-н Ленинский,52.325929,104.260421,143 м²,nan,2,3 м,офисная,nan,открытая,прямая,nan,12 мес.,коммунальные,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_torgovlya_143_m_ul._o.koshevogo_na_1_linii_4700177234?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,A,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офисное помещение, 290 кв.м",199000,"Иркутская обл., Иркутск, Красноярская ул., 31/1",р-н Октябрьский,52.279274,104.330445,290 м²,nan,5,nan,офисная,nan,кабинетная,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_290_kv.m_7438296563?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Помещение под офис или торговлю, 100 м² Горка",65000,"Иркутская обл., Иркутск, Горка, 3",р-н Ленинский,52.364028,104.151249,100 м²,nan,1,3 м,офисная,nan,nan,прямая,есть,12 мес.,коммунальные,административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_pod_ofis_ili_torgovlyu_100_m_gorka_4572336002?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,30,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад или производство, 1600 м² Ново Ленино",450,"Иркутская обл., Иркутск, Горка, 8/15А",р-н Ленинский,52.369232980646686,104.15650142195123,1600 м²,nan,1,9 м,чистовая,300 кВт,nan,прямая,nan,12 мес.,коммунальные,другой,"на улице, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_ili_proizvodstvo_1600_m_novo_lenino_7451040747?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,центральное,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 222.17 м²",850,"Иркутская обл., Иркутск, Рабочая ул., 18Д",р-н Правобережный,52.295311,104.294593,222.17 м²,nan,1,nan,чистовая,15 кВт,nan,прямая,есть,11 мес.,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_222.17_m_7237426068?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад с пандусом, 885 м² Тухачевского",490,"Иркутская обл., Иркутск, ул. Тухачевского, 1А/1",р-н Ленинский,52.36210057099249,104.1608000841023,885 м²,nan,1,7 м,чистовая,15 кВт,nan,прямая,есть,12 мес.,коммунальные,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_s_pandusom_885_m_tuhachevskogo_4635924920?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 108 м²",162450,"Иркутская обл., Иркутск, Ангарская ул., 28/8",р-н Правобережный,52.30325606226346,104.2940394583388,108 м²,nan,1,nan,чистовая,nan,nan,прямая,nan,11 мес.,"коммунальные, эксплуатационные",другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_108_m_7424664603?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Складское помещение, 300 кв.м",135000,"Иркутская обл., Иркутск, Трактовая ул., 14Б",р-н Ленинский,52.31291,104.238628,300 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/skladskoe_pomeschenie_300_kv.m_7342710437?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,со двора,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 117 м²",128700,"Иркутская обл., Иркутск, ул. Карла Маркса, 65/3",р-н Правобережный,52.29471,104.294467,117 м²,nan,1,nan,чистовая,"35 кВт, можно увеличить",nan,прямая,nan,11 мес.,nan,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_117_m_7429363212?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,500,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офисное помещение, 839 кв.м",1800,"Иркутская обл., Иркутск, ул. Кожова, 14/3",р-н Октябрьский,52.270386,104.28835,839 м²,nan,6,nan,офисная,nan,кабинетная,прямая,nan,nan,nan,бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_839_kv.m_7406752302?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Универсальное помещение, 298 кв.м",270000,"Иркутская обл., Иркутск, ул. Литвинова, 3",р-н Правобережный,52.283836,104.28967,298 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/universalnoe_pomeschenie_298_kv.m_1895681138?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Универсальное помещение, 200 кв.м",70000,"Иркутская обл., Иркутск, мкр-н Первомайский, 25",р-н Свердловский,52.255917,104.234074,200 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/universalnoe_pomeschenie_200_kv.m_2215419698?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,со двора,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 72 м² Ново Ленино, ост. Норильская",400,"Иркутская обл., Иркутск, Восточный пер., 8",р-н Ленинский,52.33277314940136,104.212469,72 м²,nan,2,2.5 м,офисная,nan,кабинетная,прямая,nan,11 мес.,коммунальные,административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_72_m_novo_lenino_ost._norilskaya_4379741544?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Помещение 200 м² Иркутск 2,80000,"Иркутская обл., Иркутск, Куликовская ул., 3",р-н Ленинский,52.36081574736129,104.21617411177824,200 м²,nan,цокольный,2.5 м,офисная,nan,nan,прямая,nan,12 мес.,коммунальные,жилой дом,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_200_m_irkutsk_2_7387962568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLamRhQ3plTWFGRlI0UTFwIjt9OLKhWj8AAAA,nan,15,с улицы,центральное,есть,вторая линия и дальше,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
